"id","QO1Ta","QO1Ca","QO1b","QO2Ta","QO2Ca","QO2b","QO3Ta","QO3Ca","QO3b"
"4","","Anxiété, perte de confiance en soit, dévalorisation, difficultés relationnelles (notamment en couple), risques d'addictions, solitude","Je ne pense pas que ces événements sont les plus importants dans la vie des HSH. (Je ne suis pas certain d'avoir compris la question).

Si c'est : pourquoi ces événements sont plus fréquents dans la vie des HSH : 
""Retard"" dans la construction identitaire, représentations négatives des homosexuels masculins, absence de modèles, expériences adolescentes plus complexes, environnement familial parfois hostile, peut être encore plus fréquemment chez des personnes qui ont un parcours de migration. ","","Episodes d'IST, y compris parfois sur le long terme pour le VIH (comorbidités), cancers, ","Essentiellement des conséquences d'une moindre santé mentale des HSH","","Solitude, difficultés à se vivre en communauté (homophobie intériorisée), difficultés familiales (couper les ponts avec sa famille, rapports difficiles, homosexualité cachée)","Ce sont ceux dont j'entends parler le plus fréquemment"
"5","","- Solitude
- Angoisses
- manque d'assertivité","ce sont des thèmes qui reviennent fréquemment lors des entretiens que nous menons avec le public","","- ist","en terme de santé physique nous ommes principalement confronté a des demande en liens avec le dépistage hiv et autres ist mais peux d'autres état de santé physique","","- isolement
- précarité social et économique
- trouble dépressif ","nous constatons dans notre zone géographique qu'il existe encore un fort tabous autours des questions d'orientations sexuelles et d’identité de genre"
"6","Transphobie","","Le public HSH est souvent rabaissé aux pratiques sexuelles (pénis-pénis) et je pense que certains intègre ces clichés et refusent d'en sortir","Rapports sexuels non protégés","","Mauvaise information: penser que la T rend stérile, manque d'infos sur les IST+ syndémie, prises de risque","Transphobie, homophobie, incompréhension","","Beaucoup de personnes cishétéro pensent que les personnes trans son hétéro (amalgame entre identité de genre et orientation sexuelle)"
"7","","Discriminations intracommunautaires, Inégalités d'accès à la santé, solitude, pression de l'hétéronormativité","Parce qu'ils participent à la construction identitaire","","Le manque de connaissances sur la réduction des risques liés à la consommation de produits stupéfiants ","Parce que les hsh sont un des publics les plus touchés par les addictions ","","Manque de confiance et de légitimité ","Ils poussent à la solitude "
"8","","Un réel problème de stabilité émotionnel. Beaucoup adoptent des comportements borderline. 
Je dirais, en plus, des problèmes d'ordre paternel avec ce rapport totalement banalisé entre les plus âgés et plus jeunes. 
La confiance en soi totalement dans le paraître. 
Une sexualisation permanente et un transfère des rapports sociaux de domination. ","Il s'agit de mon vécu. ","","Hormis un cruel manque de rigueur dans le suivi de la santé sexuelle. Pour le reste.. rien. ","Parce que c'est une réelle problématique actuelle cette montée des IST dans le milieu des HSH. ","","Une compétition constante. 
Un transfère des dynamiques sexuelles (passif/actif) qui en devient une nécessité dans les situations sociale au-délà des rapports sexuels. 
Des stéréotypes, encore une fois. ","Je le vis au quotidien. "
"9","","Sur un public de 21 personnes (depuis juin 2019), nous avons rencontré 7 hommes cisgenre HSH.
Je n'en ai pas rencontré 2 d'entre eux.
2 d'entre eux étaient confrontés à un retard mental léger, 1 à un retard mental modéré.
Un avait un trouble bordeline et un retard mental modéré.
Le dernier exprime des problèmes de concentration en cours.","Au vu de l'histoire familial des hommes que j'ai rencontré (5/7), j'émets l'hypothèse que le milieu dans lequel ils ont grandi n'a pas permis un développement cognitif adapté. Aussi, les 5 rencontrés se sont retrouvés en décrochage scolaire assez tôt. 
4 car ils avaient quitté leur milieu de vie à cause de la présence d'homophobie (pour certains sans homophobie le milieu de vie ne semblait pas sains à la base)
Le 5e (exprimant des difficultés de concentration) a été déscolarisé car les parents ne permettait pas sa participation aux cours.","","Dans notre public, nous n'avons pas identifié de problème de santé physique spécifique.","/","","Dans notre public,
Il semble que les hommes cisgenres rencontrés font face à une difficulté quand il s'agit de créer des relations sociales stables et se dirigent majoritairement vers des milieux toxiques.","Le public rencontré étant issu d'un milieu social faisant face à différentes difficultés (milieu toxique, violence intrafamiliale, ...) j'émet l'hypothèse qu'ils tentent de reproduire un milieu s'approchant au milieu dans lequel ils ont vécu."
"10","Le rejet, la non-reconnaissance de leur identité de genre, et en particulier lorsque leur apparence physique ne rentre pas dans les normes genrées","","Cela amplifie davantage l'isolement social et le manque d'estime de soi des HSH transgenres","Ils ne se sentent pas concernés par les campagnes IST OU savent qu'ils vont être confrontés à un déni de leur identité ex : pour une personne à vagin, les informations parlent généralement de femmes
Egalement, il est difficile pour les personnes trans de trouver des informations transpécifiques ex : rétrécissement du vagin avec les hormones et donc difficulté avec les pénétration","","Il y a très peu d'informations facilement accessibles","L'isolement social","","Ca a des impacts sur tous les aspects de leur vie"
"11","D'après les témoignages de nos membres, nous avons pu observer que le fait d'avoir des rapports sexuels avec des hommes possédant un appareil sexuel mâle, l'utilisation de l'appareil génital femelle peut être source de grande dysphorie. ","","La dysphorie pouvant entrainer bons nombres d'aspects négatifs dans la vie des personnes trans, cela peut être un frein à l'épanouissement sexuel par peur de ne pas être écouté et respecté dans ses besoins et limites. ","Nous avons pu observer que les dépistages IST sont généralement adaptés selon l'orientation sexuelle et non selon les pratiques utilisées. Cela peut-être problématique concernant une homme trans sans réassignation sexuelle qui a des relations sexuelles avec d'autres hommes (cis ou trans) en aillant usage de son sexe (pas de frottis adapté, certaines IST ne sont pas testées, etc). ","","Cela peut être problématique au niveau de la santé sexuelle et d'éventuelles IST qui pourraient passer inaperçues. ","Au sein de l'ASBL, il est fréquent que nos membres ne se sentent pas légitimes d'avoir des relations sexuelles avec d'autres hommes sous peine de ne pas être reconnus dans leur genre.","","Le fait de devoir choisir entre la reconnaissance de son identité de genre ou l'épanouissement sexuel peut être un réel frein au bien-être général et social "
"12","Méconnaissance du sujet, confusion entre sexe, genre et orientation sexuelle. Difficulté à trouver des praticiens bienveillants.","","Car ils doivent se sentir en confiance et être face à quelqu'un qui comprend leur situation pour se sentir à l'aise.","La méconnaissance des réalités diverses de transition concernant les hommes trans. Cela amène des soucis à cause des préjugés sur certaines opérations ou sur les effets des traitements hormonaux. Il y a également encore beaucoup de préjugés sur les gays, notamment concernant les MST. Les médecins ne sont pas toujours à jour ni formés à toutes les réalités. ","","Il est important pour être bien soigné de ne pas être face à un médecin ayant une vision trop restreinte des relations entre hommes et de la diversité des corps des hommes.","L'incompréhension de l'entourage,  les difficultés des proches à comprendre (même quand ils acceptent), les gens sont encore emplis de préjugés et confondent souvent le genre et l'orientation sexuelle.","","Avoir un entourage ouvert et comprehensif aide à mieux vivre sa transition et ses relations amoureuses."
"13","J'ai l'impression (d'après mes expériences) que les personnes transmasculines hsh sont majoritairement touché par la dépression ou par d'autres maladies mentale. Ca peut ou non avoir un lien avec leur transidentité en fonction de leur rapport à la dysphorie et du lieu dans lequel iels évoluent. Je ne connais pas de personnes transmaculines hsh n'ayant jamais souffert de dépression. 
De manière générale, j'aurai tendance à dire que la santé mentale des personnes transmasculines hsh est plus fragile. Cependant cela n'est pas du à la transidentité directement mais au cadre de vie de la personne (enfance, entourage, acceptation ou non de la transidentité par la famille, ...)","","Je pense que cet élément fait partie de la vie des hsh cependant je pense que celui si est plus présent chez les personnes transmasculines que chez les hommes cisgenres. Les maladies mentales sont majoritairement présentes dans la communauté lgbtqia+ mais je pense qu'elles touchent plus certaines lettre que d'autres. 
Je pense donc qu'il s'agit d'un élément de la vie des hsh mais pas que celui-ci est un élément important quand il s'adresse à l'entierté de la communauté hsh.","D'après mon expérience, je pense que du point de vue de la santé physique les personnes transmasculines hsh ont dans leurs problèmes principaux de santé physique les ist. Je pense que de plus en plus de personnes transmasculines se protègent grâce aux campagnes de préventions efficaces. Cependant, face à d'autres personnes hsh pouvant être insistent.e.s pour avoir des rapports sans moyen de contraception ou face à la dysphorie il peut arriver que les personnes transmasculines cèdent au non-port d'un moyen de protection.","","Je pense effectivement que le risque de contracté une ist fait partie de manière importante de la vie des hshmais pas forcément qu'il s'agit d'un élément pus important que certains autres.","Je pense que les personnes transmasculines hsh sont confronté.e.s à énormément de transphobie qui peut augmenter leur niveau de dysphorie et donc potentiellement leur amoindrir leur santé mentale. 
Je pense également qu'iels peuvent être mis.e.s en marge de la société car ne rentrant pas dans les codes sociaux attendus.
Iels peuvent également subir de l'homophobie.","","Je pense que la mise à l'écart de la société et l'homophobie sont les élément les plus important dans la vie des hsh. Par contre la transphobie n'est l'élément le plus important que pour les personnes transmasculines hsh et pas pour les personnes cisgenres."
