"id","submitdate","lastpage","startlanguage","seed","token","Q21C[SQ001]","Q21C[SQ006]","Q21C[SQ005]","Q21C[SQ002]","Q21C[SQ003]","Q21C[SQ008]","Q21C[SQ007]","Q21C[SQ004]","Q21C[SQ011]","Q21C[SQ024]","Q21C[SQ025]","Q21C[SQ010]","Q21C[SQ019]","Q21C[SQ020]","Q21C[SQ023]","Q21C[SQ026]","Q21C[SQ021]","Q21C[SQ029]","Q21C[SQ028]","Q21C[SQ027]","Q21C[SQ030]","Q21C[SQ031]","Q21C[SQ032]","Q21C[SQ033]","Q21C[SQ034]","Q21C[SQ035]","Q21C[SQ036]","Q21C[SQ037]","Q21C[SQ038]","Q21C[SQ039]","Q21C[SQ040]","Q21C[SQ041]","Q21C[SQ042]","Q21C[SQ043]","Q21C[SQ044]","Q21C[SQ045]","Q21C[SQ046]","Q21C[SQ047]","Q21C[SQ048]","Q21C[SQ049]","Q21C[SQ050]","Q21C[SQ051]","Q21C[SQ052]","Q21C[SQ053]","Q21C[SQ054]","Q21T[SQ001]","Q21T[SQ006]","Q21T[SQ005]","Q21T[SQ002]","Q21T[SQ003]","Q21T[SQ008]","Q21T[SQ007]","Q21T[SQ004]","Q21T[SQ011]","Q21T[SQ024]","Q21T[SQ025]","Q21T[SQ010]","Q21T[SQ019]","Q21T[SQ020]","Q21T[SQ023]","Q21T[SQ026]","Q21T[SQ021]","Q21T[SQ029]","Q21T[SQ028]","Q21T[SQ027]","Q21T[SQ030]","Q21T[SQ031]","Q21T[SQ032]","Q21T[SQ033]","Q21T[SQ034]","Q21T[SQ035]","Q21T[SQ036]","Q21T[SQ037]","Q21T[SQ038]","Q21T[SQ039]","Q21T[SQ040]","Q21T[SQ041]","Q21T[SQ042]","Q21T[SQ043]","Q21T[SQ044]","Q21T[SQ045]","Q21T[SQ048]","Q21T[SQ050]","Q21T[SQ054]","Q21T[SQ055]","Q21T[SQ056]","Q21T[SQ057]","Q21T[SQ058]","Q21T[SQ059]","Q21T[SQ060]","Q21T[SQ061]","Q21T[SQ062]"
"3","1980-01-01 00:00:00","1","fr","1495617466","yayDz3iuSE11TSK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Très important","Important","Peu important","Très important","Très important","Très important","Peu important","Très important","Peu important","Peu important","Peu important","Important","Aucune importance","Très important","Très important","Peu important","Neutre","Très important","Neutre","Aucune importance","Peu important","Peu important","Neutre","Très important","Peu important","Neutre","Aucune importance","Neutre","Important","Très important","Peu important","Aucune importance","Très important","Peu important","Très important","Neutre","Très important","Très important","Neutre","Très important","Peu important","Très important","Très important","Neutre","Neutre","Neutre","Neutre"
"4","1980-01-01 00:00:00","1","fr","838293083","VNcZA8RydBTPSrw","Important","Important","Important","Important","Important","Très important","Neutre","Important","Important","Important","Très important","Neutre","Important","Neutre","Peu important","Important","Neutre","Neutre","Important","Neutre","Neutre","Très important","Très important","Important","Neutre","Neutre","Neutre","Peu important","Important","Neutre","Neutre","Neutre","Neutre","Important","Neutre","Très important","Peu important","Neutre","Important","Important","Important","Important","Neutre","Neutre","Très important","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5","1980-01-01 00:00:00","1","fr","1040826596","CUi05d9g6pFKs8m","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Très important","Aucune importance","Aucune importance","Très important","Très important","Aucune importance","Aucune importance","Neutre","Important","Aucune importance","Aucune importance","Très important","Aucune importance","Très important","Aucune importance","Aucune importance","Aucune importance","Important","Neutre","Aucune importance","Important","Aucune importance","Aucune importance","Important","Neutre","Aucune importance","Aucune importance","Neutre","Très important","Très important","Neutre","Important","Aucune importance","Important","Très important","Aucune importance","Très important","Neutre","Aucune importance","Aucune importance","Neutre","Neutre","Neutre","Important","Très important","Aucune importance","Important"
"6","1980-01-01 00:00:00","1","fr","1120769182","zdNNepdQuKEfLMQ","Neutre","Neutre","Important","Neutre","Neutre","Important","Neutre","Aucune importance","Très important","Peu important","Neutre","Peu important","Aucune importance","Neutre","Important","Important","Aucune importance","Peu important","Important","Neutre","Neutre","Important","Très important","Très important","Neutre","Neutre","Aucune importance","Important","Important","Important","Aucune importance","Peu important","Très important","Très important","Important","Peu important","Peu important","Neutre","Important","Peu important","Neutre","Neutre","Peu important","Très important","Très important","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7","1980-01-01 00:00:00","1","fr","1195060236","LCcJ1o5mPoEuUEK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Important","Important","Très important","Important","Important","Important","Neutre","Neutre","Important","Très important","Très important","Neutre","Important","Neutre","Neutre","Important","Neutre","Neutre","Très important","Neutre","Important","Neutre","Très important","Important","Neutre","Neutre","Très important","Neutre","Neutre","Très important","Important","Très important","Neutre","Très important","Important","Neutre","Très important","Important","Important","Très important","Important","Important","Très important","Très important","Important","Très important","Très important"
"8","1980-01-01 00:00:00","1","fr","182182062","TerrnzHzrc8zEJp","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Très important","Important","Neutre","Important","Très important","Important","Important","Très important","Important","Important","Neutre","Important","Important","Neutre","Important","Neutre","Important","Important","Important","Important","Important","Important","Important","Très important","Neutre","Important","Important","Neutre","Très important","Très important","Très important","Neutre","Important","Très important","Important","Neutre","Très important","Important","Important","Très important","Très important","Très important","Important","Neutre","Important","Très important","Important"
"9","1980-01-01 00:00:00","1","fr","1345828554","AC4QKRRzzGI38e8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Très important","Aucune importance","Aucune importance","Important","Très important","Aucune importance","Neutre","Très important","Très important","Neutre","Aucune importance","Important","Neutre","Très important","Peu important","Aucune importance","Important","Important","Important","Neutre","Important","Neutre","Aucune importance","Très important","Aucune importance","Aucune importance","Aucune importance","Aucune importance","Très important","Très important","Très important","Aucune importance","Aucune importance","Important","Très important","Très important","Très important","Aucune importance","Neutre","Très important","Très important","Très important","Très important","Important","Neutre","Important","Très important"
"11","1980-01-01 00:00:00","1","fr","537492881","KFRgAQzzlddi8mi","Neutre","Très important","Neutre","Neutre","Neutre","Important","Neutre","Neutre","Neutre","Neutre","Neutre","Très important","Neutre","Important","Neutre","Neutre","Aucune importance","Important","Important","Aucune importance","Important","Très important","Très important","Neutre","Peu important","Neutre","Aucune importance","Neutre","Important","Important","Peu important","Peu important","Important","Neutre","Neutre","Neutre","Important","Peu important","Peu important","Neutre","Neutre","Important","Neutre","Important","Très important","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"12","1980-01-01 00:00:00","1","fr","1817887425","0vOig03HJYxqlAv","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Neutre","Aucune importance","Aucune importance","Neutre","Important","Peu important","Neutre","Neutre","Important","Important","Neutre","Neutre","Aucune importance","Neutre","Neutre","Peu important","Peu important","Neutre","Important","Neutre","Neutre","Aucune importance","Neutre","Important","Peu important","Neutre","Peu important","Neutre","Important","Important","Neutre","Peu important","Important","Important","Très important","Neutre","Très important","Important","Très important","Important","Important","Très important","Très important","Neutre","Important","Important","Neutre"
"13","1980-01-01 00:00:00","1","fr","441720720","fGogmio9grdwEmv","Important","Neutre","Neutre","Important","Important","Neutre","Important","Important","Important","Important","Important","Très important","Neutre","Neutre","Neutre","Neutre","Peu important","Important","Important","Neutre","Important","Neutre","Important","Important","Neutre","Neutre","Neutre","Important","Important","Neutre","Neutre","Peu important","Important","Très important","Important","Neutre","Neutre","Neutre","Neutre","Important","Important","Important","Neutre","Important","Important","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
