"Q31C[1]","Q31C[2]","Q31C[3]","Q31C[4]","Q31C[5]","Q31C[6]","Q31C[7]","Q31C[8]","Q31C[9]","Q31C[10]","Q31C[11]","Q31C[12]","Q31C[13]","Q31T[1]","Q31T[2]","Q31T[3]","Q31T[4]","Q31T[5]","Q31T[6]","Q31T[7]","Q31T[8]","Q31T[9]","Q31T[10]","Q31T[11]","Q31T[12]","Q31T[13]"
"","","","","","","","","","","","","","Idées suicidaires et/ou tentatives de suicide","Précarité","Dépression","Transphobie","Méconnaissance sur les transidentités, incompréhension de la part des personnes cisgenres","Non-reconnaissance de l'identité (mégenrage, utilisation du deadname)","Difficultés à accéder à des soins de qualité et respectueux","Faible soutien social, y compris environnement familial défavorable","Solitude","Anxiété","Cisnormativité (pressions à rentrer dans la norme cisgenre, y compris dans l'expression de genre et au niveau du corps)","Difficultés à pratiquer un sport","Hétéronormativité (pressions à rentrer dans la norme hétéro)"
"","","","","","","","","","","","","","Méconnaissance sur les transidentités, incompréhension de la part des personnes cisgenres","Non-reconnaissance de l'identité (mégenrage, utilisation du deadname)","Difficultés à accéder à des soins de qualité et respectueux","Difficultés à pratiquer un sport","Faible soutien social, y compris environnement familial défavorable","Transphobie","Cisnormativité (pressions à rentrer dans la norme cisgenre, y compris dans l'expression de genre et au niveau du corps)","Hétéronormativité (pressions à rentrer dans la norme hétéro)","Précarité","Idées suicidaires et/ou tentatives de suicide","Anxiété","Dépression","Solitude"
"","","","","","","","","","","","","","Idées suicidaires et/ou tentatives de suicide","Dépression","Transphobie","Faible soutien social, y compris environnement familial défavorable","Non-reconnaissance de l'identité (mégenrage, utilisation du deadname)","Anxiété","Difficultés à accéder à des soins de qualité et respectueux","Précarité","","","","",""
"Solitude","Faible estime de soi","Poids des pressions patriarcales sur l'identité","Difficultés liées au parcours migratoire","Hypersexualisation au sein de la communauté","Hétéronormativité (pressions à rentrer dans la norme hétéro)","Comportements sexuels à risque","Chemsex","Problèmes d'usage de substances (y compris addiction à une ou plusieurs drogues)","Âgisme","VIH","Dépression","Faible soutien social, y compris environnement familial défavorable","","","","","","","","","","","","",""
"Faible estime de soi","Solitude","Difficultés liées au parcours migratoire","Âgisme","Comportements sexuels à risque","Poids des pressions patriarcales sur l'identité","Hétéronormativité (pressions à rentrer dans la norme hétéro)","Dépression","Hypersexualisation au sein de la communauté","Problèmes d'usage de substances (y compris addiction à une ou plusieurs drogues)","Faible soutien social, y compris environnement familial défavorable","VIH","Chemsex","","","","","","","","","","","","",""
"","","","","","","","","","","","","","Précarité","Difficultés à accéder à des soins de qualité et respectueux","Idées suicidaires et/ou tentatives de suicide","Faible soutien social, y compris environnement familial défavorable","Cisnormativité (pressions à rentrer dans la norme cisgenre, y compris dans l'expression de genre et au niveau du corps)","","","","","","","",""
"","","","","","","","","","","","","","Difficultés à accéder à des soins de qualité et respectueux","Précarité","Idées suicidaires et/ou tentatives de suicide","Faible soutien social, y compris environnement familial défavorable","Dépression","Difficultés à pratiquer un sport","Anxiété","Solitude","Non-reconnaissance de l'identité (mégenrage, utilisation du deadname)","Hétéronormativité (pressions à rentrer dans la norme hétéro)","Méconnaissance sur les transidentités, incompréhension de la part des personnes cisgenres","Cisnormativité (pressions à rentrer dans la norme cisgenre, y compris dans l'expression de genre et au niveau du corps)","Transphobie"
"Comportements sexuels à risque","Chemsex","Difficultés liées au parcours migratoire","Hétéronormativité (pressions à rentrer dans la norme hétéro)","Poids des pressions patriarcales sur l'identité","Faible soutien social, y compris environnement familial défavorable","Faible estime de soi","Problèmes d'usage de substances (y compris addiction à une ou plusieurs drogues)","VIH","Dépression","Solitude","Âgisme","Hypersexualisation au sein de la communauté","","","","","","","","","","","","",""
"Faible estime de soi","Difficultés liées au parcours migratoire","Hétéronormativité (pressions à rentrer dans la norme hétéro)","Faible soutien social, y compris environnement familial défavorable","Solitude","Comportements sexuels à risque","VIH","Problèmes d'usage de substances (y compris addiction à une ou plusieurs drogues)","Chemsex","Dépression","Hypersexualisation au sein de la communauté","Poids des pressions patriarcales sur l'identité","Âgisme","","","","","","","","","","","","",""
"","","","","","","","","","","","","","Idées suicidaires et/ou tentatives de suicide","Difficultés à accéder à des soins de qualité et respectueux","Faible soutien social, y compris environnement familial défavorable","Méconnaissance sur les transidentités, incompréhension de la part des personnes cisgenres","Cisnormativité (pressions à rentrer dans la norme cisgenre, y compris dans l'expression de genre et au niveau du corps)","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"Hypersexualisation au sein de la communauté","Chemsex","Comportements sexuels à risque","Âgisme","Faible soutien social, y compris environnement familial défavorable","Hétéronormativité (pressions à rentrer dans la norme hétéro)","Poids des pressions patriarcales sur l'identité","Faible estime de soi","Dépression","Solitude","Problèmes d'usage de substances (y compris addiction à une ou plusieurs drogues)","VIH","Difficultés liées au parcours migratoire","","","","","","","","","","","","",""
"","","","","","","","","","","","","","Transphobie","Dépression","Idées suicidaires et/ou tentatives de suicide","Non-reconnaissance de l'identité (mégenrage, utilisation du deadname)","Méconnaissance sur les transidentités, incompréhension de la part des personnes cisgenres","Difficultés à accéder à des soins de qualité et respectueux","Précarité","Anxiété","Faible soutien social, y compris environnement familial défavorable","Solitude","Cisnormativité (pressions à rentrer dans la norme cisgenre, y compris dans l'expression de genre et au niveau du corps)","Hétéronormativité (pressions à rentrer dans la norme hétéro)","Difficultés à pratiquer un sport"
"Comportements sexuels à risque","Faible estime de soi","Solitude","Difficultés liées au parcours migratoire","Hypersexualisation au sein de la communauté","Âgisme","Chemsex","Problèmes d'usage de substances (y compris addiction à une ou plusieurs drogues)","VIH","Dépression","Hétéronormativité (pressions à rentrer dans la norme hétéro)","Poids des pressions patriarcales sur l'identité","Faible soutien social, y compris environnement familial défavorable","","","","","","","","","","","","",""
